concept,reconstruction
louse,pridokLu
liver,figawu
breast,petura
come,benir
I,eu
you,tu
star,steda
bone,ueso
new,novu
full,plenu
horn,kornu
leaf,fronza
fire,foku
water,apu
dog,kayne
tree,arbure
path,kamin
hear,sentir
night,noapti
two,duos
we,nuzaltris
fish,peaSti
skin,pede
name,nomini
nose,nari8
tooth,dinti
sun,sole
tongue,limba
drink,bEyver
see,vede
die,morir
ear,ureakLa
mountain,munta5i
eye,wokLu
stone,pedrda
person,womu
one,unu
knee,jinuLu
hand,manu
blood,saNguni
