,concept,language,word,ID,cc,ccCode
191,I,ALBANIAN_GHEG,un3,191,I:0,a
193,I,ALBANIAN_TOSK,un3,193,I:0,a
192,I,ALBANIAN,un3,192,I:0,a
194,I,ARAGONESE,yo,194,I:1,b
210,I,JUDEO_ESPAGNOL,yo,210,I:10,k
216,I,NEAPOLITAN_CALABRESE,iy3,216,I:11,l
219,I,NONES_GARDENESE,ye,219,I:12,m
225,I,PORTUGUESE,eu,225,I:13,n
232,I,ROMANSH_VALLADER,Ew,232,I:14,o
227,I,ROMANIAN_2,ew,227,I:14,o
228,I,ROMANIAN_MEGLENO,yo,228,I:15,p
229,I,ROMANSH_GRISHUN,yaw,229,I:16,q
230,I,ROMANSH_SURMIRAN,i3,230,I:17,r
231,I,ROMANSH_SURSILVAN,yEu,231,I:18,s
235,I,SARDINIAN_LOGUDARESE,deo,235,I:19,t
233,I,SARDINIAN,deo,233,I:19,t
218,I,NONES_FASSANO,Ze,218,I:2,c
220,I,OCCITAN_ARANESE,Zu,220,I:2,c
199,I,CATALAN_2,Zo,199,I:2,c
198,I,CATALAN,Zo,198,I:2,c
197,I,BALEAR_CATALAN,jo,197,I:2,c
207,I,GASCON,jo,207,I:2,c
195,I,ARPITAN,Z3,195,I:2,c
205,I,FRENCH,j3,205,I:2,c
234,I,SARDINIAN_CAMPIDANESE,dEw,234,I:20,u
236,I,SICILIAN_UnnamedInSource,iu,236,I:21,v
237,I,SPANISH,yo,237,I:22,w
238,I,TURIA_AROMANIAN,yo,238,I:23,x
239,I,VALENCIAN,yo,239,I:24,y
240,I,VLACH,eu,240,I:25,z
196,I,ASTURIAN,yo,196,I:3,d
200,I,CORSICAN,eyu,200,I:4,e
201,I,DALMATIAN,yu,201,I:5,f
202,I,EMILIANO_CARPIGIANO,mE,202,I:6,g
203,I,EMILIANO_FERRARESE,mi,203,I:6,g
204,I,EMILIANO_REGGIANO,me,204,I:6,g
215,I,LOMBARD_PLESIO,mi,215,I:6,g
211,I,LIGURIAN_GENOESE,mi,211,I:6,g
212,I,LIGURIAN_RAPALLO,mi,212,I:6,g
213,I,LIGURIAN_STELLA,mi,213,I:6,g
