,concept,language,word,ID,cc,ccCode
214,I,LOMBARD_BERGAMO,me,214,I:6,g
217,I,NONES,mi,217,I:6,g
221,I,PIEMONTESE_BARBANIA,mi,221,I:6,g
222,I,PIEMONTESE_CARMAGNOLA,mi,222,I:6,g
223,I,PIEMONTESE_LANZO_TORINESE,mi,223,I:6,g
224,I,PIEMONTESE_VERCELLESE,mi,224,I:6,g
226,I,ROMAGNOL_RAVENNATE,me,226,I:6,g
206,I,FRIULIAN,yo,206,I:7,h
208,I,ITALIAN,io,208,I:8,i
209,I,ITALIAN_GROSSETO_TUSCAN,io,209,I:9,j
2005,blood,ALBANIAN_GHEG,gak,2005,blood:0,a
2007,blood,ALBANIAN_TOSK,TEk,2007,blood:0,a
2006,blood,ALBANIAN,Tak,2006,blood:0,a
2010,blood,ASTURIAN,saNgre,2010,blood:1,b
2008,blood,ARAGONESE,saNgre,2008,blood:1,b
2057,blood,VLACH,sinca,2057,blood:1,b
2056,blood,VALENCIAN,saN,2056,blood:1,b
2011,blood,BALEAR_CATALAN,saN,2011,blood:1,b
2035,blood,NONES_GARDENESE,saNk,2035,blood:1,b
2034,blood,NONES_FASSANO,saNk,2034,blood:1,b
2033,blood,NONES,saN,2033,blood:1,b
2032,blood,NEAPOLITAN_CALABRESE,sang3,2032,blood:1,b
2031,blood,LOMBARD_PLESIO,sank,2031,blood:1,b
2030,blood,LOMBARD_BERGAMO,sank,2030,blood:1,b
2029,blood,LIGURIAN_STELLA,saNgwe,2029,blood:1,b
2028,blood,LIGURIAN_RAPALLO,saNgwe,2028,blood:1,b
2027,blood,LIGURIAN_GENOESE,saNgwe,2027,blood:1,b
2026,blood,LANGUEDOCIEN,saN,2026,blood:1,b
2036,blood,OCCITAN_ARANESE,saN,2036,blood:1,b
2025,blood,JUDEO_ESPAGNOL,saNgre,2025,blood:1,b
2023,blood,ITALIAN,saNgwe,2023,blood:1,b
2022,blood,GASCON,saN,2022,blood:1,b
2021,blood,GALICIAN,saNge,2021,blood:1,b
2020,blood,FRIULIAN,saNk,2020,blood:1,b
2018,blood,EMILIANO_REGGIANO,saNgov,2018,blood:1,b
2017,blood,EMILIANO_FERRARESE,saNg,2017,blood:1,b
2016,blood,EMILIANO_CARPIGIANO,saNgev,2016,blood:1,b
2015,blood,DALMATIAN,suoNg,2015,blood:1,b
2014,blood,CORSICAN,saNgwi,2014,blood:1,b
2013,blood,CATALAN_2,saN,2013,blood:1,b
2024,blood,ITALIAN_GROSSETO_TUSCAN,sangwe,2024,blood:1,b
2012,blood,CATALAN,saN,2012,blood:1,b
2037,blood,PIEMONTESE_BARBANIA,saNg,2037,blood:1,b
2039,blood,PIEMONTESE_LANZO_TORINESE,saNg,2039,blood:1,b
2053,blood,SICILIAN_UnnamedInSource,saNgu,2053,blood:1,b
2052,blood,SARDINIAN_LOGUDARESE,sambene,2052,blood:1,b
2038,blood,PIEMONTESE_CARMAGNOLA,saNg,2038,blood:1,b
2051,blood,SARDINIAN_CAMPIDANESE,SaNguni,2051,blood:1,b
2050,blood,SARDINIAN,sambene,2050,blood:1,b
2049,blood,ROMANSH_VALLADER,saNk,2049,blood:1,b
2048,blood,ROMANSH_SURSILVAN,sauN,2048,blood:1,b
2047,blood,ROMANSH_SURMIRAN,saNk,2047,blood:1,b
2046,blood,ROMANSH_GRISHUN,saNk,2046,blood:1,b
2045,blood,ROMANIAN_MEGLENO,sonzi,2045,blood:1,b
2044,blood,ROMANIAN_2,s3nje,2044,blood:1,b
2043,blood,ROMANIAN,s3nje,2043,blood:1,b
2042,blood,ROMAGNOL_RAVENNATE,saNgv,2042,blood:1,b
2041,blood,PORTUGUESE,sax3,2041,blood:1,b
2040,blood,PIEMONTESE_VERCELLESE,saN,2040,blood:1,b
2054,blood,SPANISH,sangre,2054,blood:1,b
2055,blood,TURIA_AROMANIAN,sani,2055,blood:1,b
2009,blood,ARPITAN,so,2009,blood:2,c
2019,blood,FRENCH,sa,2019,blood:3,d
342,bone,ALBANIAN_GHEG,aSt,342,bone:0,a
343,bone,ALBANIAN,aSt,343,bone:0,a
344,bone,ALBANIAN_TOSK,aSt,344,bone:0,a
390,bone,SPANISH,weso,390,bone:1,b
363,bone,LIGURIAN_GENOESE,Esu,363,bone:1,b
361,bone,JUDEO_ESPAGNOL,gueso,361,bone:1,b
346,bone,ASTURIAN,uesu,346,bone:1,b
345,bone,ARAGONESE,geso,345,bone:1,b
385,bone,ROMANSH_VALLADER,os,385,bone:2,c
376,bone,PIEMONTESE_VERCELLESE,os,376,bone:2,c
375,bone,PIEMONTESE_LANZO_TORINESE,os,375,bone:2,c
374,bone,PIEMONTESE_CARMAGNOLA,os,374,bone:2,c
373,bone,PIEMONTESE_BARBANIA,os,373,bone:2,c
372,bone,OCCITAN_ARANESE,os,372,bone:2,c
371,bone,NONES_GARDENESE,os,371,bone:2,c
370,bone,NONES_FASSANO,os,370,bone:2,c
369,bone,NONES,os,369,bone:2,c
391,bone,TURIA_AROMANIAN,os,391,bone:2,c
366,bone,LOMBARD_BERGAMO,os,366,bone:2,c
362,bone,LANGUEDOCIEN,os,362,bone:2,c
358,bone,GASCON,os,358,bone:2,c
355,bone,FRENCH,os,355,bone:2,c
354,bone,EMILIANO_REGGIANO,os,354,bone:2,c
353,bone,EMILIANO_FERRARESE,os,353,bone:2,c
352,bone,EMILIANO_CARPIGIANO,os,352,bone:2,c
349,bone,CATALAN_2,os,349,bone:2,c
348,bone,CATALAN,os,348,bone:2,c
347,bone,BALEAR_CATALAN,os,347,bone:2,c
378,bone,ROMAGNOL_RAVENNATE,os,378,bone:2,c
379,bone,ROMANIAN,os,379,bone:2,c
367,bone,LOMBARD_PLESIO,os,367,bone:2,c
392,bone,VALENCIAN,os,392,bone:2,c
383,bone,ROMANSH_SURMIRAN,os,383,bone:2,c
382,bone,ROMANSH_GRISHUN,os,382,bone:2,c
380,bone,ROMANIAN_2,os,380,bone:2,c
388,bone,SARDINIAN_LOGUDARESE,osu,388,bone:3,d
357,bone,GALICIAN,oso,357,bone:3,d
359,bone,ITALIAN,osso,359,bone:3,d
360,bone,ITALIAN_GROSSETO_TUSCAN,oso,360,bone:3,d
387,bone,SARDINIAN_CAMPIDANESE,osu,387,bone:3,d
386,bone,SARDINIAN,osu,386,bone:3,d
364,bone,LIGURIAN_RAPALLO,osu,364,bone:3,d
365,bone,LIGURIAN_STELLA,osu,365,bone:3,d
350,bone,CORSICAN,osu,350,bone:3,d
389,bone,SICILIAN_UnnamedInSource,osu,389,bone:3,d
377,bone,PORTUGUESE,osu,377,bone:3,d
351,bone,DALMATIAN,vuas,351,bone:4,e
356,bone,FRIULIAN,ves,356,bone:5,f
368,bone,NEAPOLITAN_CALABRESE,wos3,368,bone:6,g
381,bone,ROMANIAN_MEGLENO,wos,381,bone:6,g
384,bone,ROMANSH_SURSILVAN,ies,384,bone:7,h
94,breast,ALBANIAN,kraharor,94,breast:0,a
95,breast,ALBANIAN_TOSK,Toks,95,breast:1,b
129,breast,ROMANIAN_MEGLENO,Ciept,129,breast:10,k
139,breast,TURIA_AROMANIAN,caca,139,breast:11,l
93,breast,ALBANIAN_GHEG,gji,93,breast:12,m
140,breast,VLACH,keptu,140,breast:12,m
112,breast,LIGURIAN_GENOESE,petu,112,breast:2,c
109,breast,ITALIAN_GROSSETO_TUSCAN,pEto,109,breast:2,c
108,breast,ITALIAN,pEtto,108,breast:2,c
101,breast,EMILIANO_CARPIGIANO,pEt,101,breast:2,c
102,breast,EMILIANO_FERRARESE,pEt,102,breast:2,c
96,breast,ARAGONESE,peito,96,breast:2,c
97,breast,ASTURIAN,peCu,97,breast:2,c
98,breast,CATALAN,pit,98,breast:2,c
99,breast,CORSICAN,petu,99,breast:2,c
100,breast,DALMATIAN,piat,100,breast:2,c
106,breast,GALICIAN,pEito,106,breast:2,c
105,breast,FRIULIAN,pet,105,breast:2,c
134,breast,SARDINIAN,petus,134,breast:2,c
127,breast,ROMANIAN,pept,127,breast:2,c
135,breast,SARDINIAN_CAMPIDANESE,pitura,135,breast:2,c
136,breast,SARDINIAN_LOGUDARESE,petora,136,breast:2,c
137,breast,SICILIAN_UnnamedInSource,petu,137,breast:2,c
138,breast,SPANISH,peCo,138,breast:2,c
132,breast,ROMANSH_SURSILVAN,pEc,132,breast:2,c
131,breast,ROMANSH_SURMIRAN,pET,131,breast:2,c
130,breast,ROMANSH_GRISHUN,pET,130,breast:2,c
114,breast,LIGURIAN_STELLA,pEtu,114,breast:2,c
126,breast,ROMAGNOL_RAVENNATE,pE3t,126,breast:2,c
110,breast,JUDEO_ESPAGNOL,peCo,110,breast:2,c
123,breast,PIEMONTESE_LANZO_TORINESE,pEt,123,breast:2,c
121,breast,PIEMONTESE_BARBANIA,pEt,121,breast:2,c
120,breast,NONES_GARDENESE,pyet,120,breast:2,c
119,breast,NONES_FASSANO,pyet,119,breast:2,c
133,breast,ROMANSH_VALLADER,pet,133,breast:2,c
117,breast,NEAPOLITAN_CALABRESE,pyetE,117,breast:2,c
122,breast,PIEMONTESE_CARMAGNOLA,stomi,122,breast:3,d
103,breast,EMILIANO_REGGIANO,stom3g,103,breast:3,d
116,breast,LOMBARD_PLESIO,StumEk,116,breast:3,d
124,breast,PIEMONTESE_VERCELLESE,stomik,124,breast:3,d
115,breast,LOMBARD_BERGAMO,stomEk,115,breast:3,d
104,breast,FRENCH,patrin,104,breast:4,e
107,breast,GASCON,pupo,107,breast:5,f
111,breast,LANGUEDOCIEN,pupo,111,breast:5,f
113,breast,LIGURIAN_RAPALLO,kaSeta,113,breast:6,g
118,breast,NONES,livEr,118,breast:7,h
125,breast,PORTUGUESE,saiuS,125,breast:8,i
128,breast,ROMANIAN_2,s3n,128,breast:9,j
142,come,ALBANIAN,viy,142,come:0,a
143,come,ALBANIAN_TOSK,viy,143,come:0,a
164,come,LIGURIAN_STELLA,ve5i,164,come:1,b
166,come,LOMBARD_PLESIO,ve5i,166,come:1,b
163,come,LIGURIAN_RAPALLO,ve5i,163,come:1,b
162,come,LIGURIAN_GENOESE,ve5i,162,come:1,b
161,come,LANGUEDOCIEN,bEni,161,come:1,b
160,come,JUDEO_ESPAGNOL,venir,160,come:1,b
159,come,ITALIAN_GROSSETO_TUSCAN,venire,159,come:1,b
157,come,GASCON,biene,157,come:1,b
155,come,FRIULIAN,vi5ei,155,come:1,b
154,come,FRENCH,v3ni,154,come:1,b
151,come,EMILIANO_CARPIGIANO,5ir,151,come:1,b
152,come,EMILIANO_FERRARESE,5ir,152,come:1,b
167,come,NEAPOLITAN_CALABRESE,v3ni,167,come:1,b
150,come,DALMATIAN,venar,150,come:1,b
148,come,CATALAN_2,b3ni,148,come:1,b
147,come,CATALAN,b3ni,147,come:1,b
146,come,ASTURIAN,venir,146,come:1,b
145,come,ARPITAN,v35i,145,come:1,b
144,come,ARAGONESE,benir,144,come:1,b
153,come,EMILIANO_REGGIANO,5ir,153,come:1,b
168,come,NONES,vEnEr,168,come:1,b
186,come,SARDINIAN_CAMPIDANESE,bEni,186,come:1,b
188,come,SICILIAN_UnnamedInSource,veniri,188,come:1,b
185,come,SARDINIAN,benere,185,come:1,b
184,come,ROMANSH_VALLADER,5ir,184,come:1,b
172,come,PIEMONTESE_BARBANIA,vni,172,come:1,b
173,come,PIEMONTESE_CARMAGNOLA,vni,173,come:1,b
174,come,PIEMONTESE_LANZO_TORINESE,vni,174,come:1,b
183,come,ROMANSH_SURSILVAN,ve5ir,183,come:1,b
189,come,SPANISH,veni,189,come:1,b
169,come,NONES_FASSANO,ve5ir,169,come:1,b
177,come,ROMAGNOL_RAVENNATE,vni,177,come:1,b
190,come,VLACH,gini,190,come:1,b
187,come,SARDINIAN_LOGUDARESE,benere,187,come:1,b
179,come,ROMANIAN_2,veny,179,come:1,b
181,come,ROMANSH_GRISHUN,v35ir,181,come:1,b
149,come,CORSICAN,vEn,149,come:2,c
178,come,ROMANIAN,ven,178,come:2,c
158,come,ITALIAN,vEn,158,come:2,c
180,come,ROMANIAN_MEGLENO,vin,180,come:2,c
156,come,GALICIAN,bir,156,come:3,d
176,come,PORTUGUESE,vir,176,come:3,d
165,come,LOMBARD_BERGAMO,E5,165,come:4,e
170,come,NONES_GARDENESE,uni,170,come:5,f
171,come,OCCITAN_ARANESE,bie,171,come:6,g
175,come,PIEMONTESE_VERCELLESE,5i,175,come:7,h
182,come,ROMANSH_SURMIRAN,nEkr,182,come:8,i
141,come,ALBANIAN_GHEG,yak3,141,come:8,i
1530,die,ALBANIAN,vdes,1530,die:0,a
1531,die,ALBANIAN_TOSK,vdEs,1531,die:0,a
1529,die,ALBANIAN_GHEG,vdes,1529,die:0,a
1556,die,NEAPOLITAN_CALABRESE,muri,1556,die:1,b
1561,die,PIEMONTESE_BARBANIA,moyre,1561,die:1,b
1557,die,NONES,morir,1557,die:1,b
1558,die,NONES_FASSANO,mori,1558,die:1,b
1559,die,NONES_GARDENESE,muri,1559,die:1,b
1578,die,SPANISH,mori,1578,die:1,b
1560,die,OCCITAN_ARANESE,muri,1560,die:1,b
1562,die,PIEMONTESE_CARMAGNOLA,moyre,1562,die:1,b
1576,die,SARDINIAN_LOGUDARESE,morere,1576,die:1,b
1575,die,SARDINIAN_CAMPIDANESE,mori,1575,die:1,b
1570,die,ROMANSH_GRISHUN,murir,1570,die:1,b
1569,die,ROMANIAN_MEGLENO,mor,1569,die:1,b
1567,die,ROMANIAN,mur,1567,die:1,b
1566,die,ROMAGNOL_RAVENNATE,muri,1566,die:1,b
1565,die,PORTUGUESE,mur,1565,die:1,b
1564,die,PIEMONTESE_VERCELLESE,mori,1564,die:1,b
1563,die,PIEMONTESE_LANZO_TORINESE,moyre,1563,die:1,b
1555,die,LOMBARD_PLESIO,muri,1555,die:1,b
1574,die,SARDINIAN,morere,1574,die:1,b
1573,die,ROMANSH_VALLADER,murir,1573,die:1,b
1577,die,SICILIAN_UnnamedInSource,moriri,1577,die:1,b
1554,die,LOMBARD_BERGAMO,mor,1554,die:1,b
1571,die,ROMANSH_SURMIRAN,murEkr,1571,die:1,b
1552,die,LIGURIAN_RAPALLO,mui,1552,die:1,b
1532,die,ARAGONESE,morir,1532,die:1,b
1534,die,ASTURIAN,morrer,1534,die:1,b
1535,die,BALEAR_CATALAN,muri,1535,die:1,b
1536,die,CATALAN,muri,1536,die:1,b
1537,die,CATALAN_2,muri,1537,die:1,b
1538,die,CORSICAN,mor,1538,die:1,b
1580,die,VLACH,moru,1580,die:1,b
1539,die,DALMATIAN,morar,1539,die:1,b
1541,die,EMILIANO_FERRARESE,murir,1541,die:1,b
1542,die,EMILIANO_REGGIANO,murir,1542,die:1,b
1572,die,ROMANSH_SURSILVAN,murir,1572,die:1,b
1543,die,FRENCH,muri,1543,die:1,b
1544,die,FRIULIAN,murei,1544,die:1,b
1545,die,GALICIAN,morer,1545,die:1,b
1540,die,EMILIANO_CARPIGIANO,murir,1540,die:1,b
1579,die,VALENCIAN,morir,1579,die:1,b
1533,die,ARPITAN,mori,1533,die:1,b
1551,die,LIGURIAN_GENOESE,mui,1551,die:1,b
1549,die,JUDEO_ESPAGNOL,murir,1549,die:1,b
1548,die,ITALIAN_GROSSETO_TUSCAN,morire,1548,die:1,b
1547,die,ITALIAN,mor,1547,die:1,b
1550,die,LANGUEDOCIEN,kreba,1550,die:2,c
1546,die,GASCON,kreba,1546,die:2,c
1553,die,LIGURIAN_STELLA,mii,1553,die:3,d
1568,die,ROMANIAN_2,deceda,1568,die:4,e
701,dog,ALBANIAN_TOSK,TEn,701,dog:0,a
747,dog,SICILIAN_UnnamedInSource,kani,747,dog:0,a
746,dog,SARDINIAN_LOGUDARESE,kane,746,dog:0,a
745,dog,SARDINIAN_CAMPIDANESE,kai,745,dog:0,a
744,dog,SARDINIAN,kane,744,dog:0,a
700,dog,ALBANIAN,Ten,700,dog:0,a
741,dog,ROMANSH_SURMIRAN,TaN,741,dog:0,a
699,dog,ALBANIAN_GHEG,qen,699,dog:0,a
739,dog,ROMANIAN_MEGLENO,koyni,739,dog:0,a
738,dog,ROMANIAN_2,kaine,738,dog:0,a
728,dog,NONES_FASSANO,Ta5,728,dog:0,a
729,dog,NONES_GARDENESE,Ta5,729,dog:0,a
730,dog,OCCITAN_ARANESE,kaN,730,dog:0,a
702,dog,ARAGONESE,kan,702,dog:0,a
715,dog,GALICIAN,kan,715,dog:0,a
732,dog,PIEMONTESE_CARMAGNOLA,kaN,732,dog:0,a
734,dog,PIEMONTESE_VERCELLESE,kaN,734,dog:0,a
717,dog,ITALIAN,kane,717,dog:0,a
718,dog,ITALIAN_GROSSETO_TUSCAN,kane,718,dog:0,a
737,dog,ROMANIAN,k3ne,737,dog:0,a
736,dog,ROMAGNOL_RAVENNATE,kan,736,dog:0,a
721,dog,LIGURIAN_GENOESE,kaN,721,dog:0,a
722,dog,LIGURIAN_RAPALLO,kaN,722,dog:0,a
723,dog,LIGURIAN_STELLA,kaN,723,dog:0,a
733,dog,PIEMONTESE_LANZO_TORINESE,kaN,733,dog:0,a
725,dog,LOMBARD_PLESIO,kaN,725,dog:0,a
727,dog,NONES,cain,727,dog:0,a
714,dog,FRIULIAN,CaN,714,dog:0,a
712,dog,EMILIANO_REGGIANO,kan,712,dog:0,a
711,dog,EMILIANO_FERRARESE,kan,711,dog:0,a
710,dog,EMILIANO_CARPIGIANO,kaN,710,dog:0,a
731,dog,PIEMONTESE_BARBANIA,kaN,731,dog:0,a
726,dog,NEAPOLITAN_CALABRESE,kan3,726,dog:0,a
703,dog,ARPITAN,Si,703,dog:1,b
743,dog,ROMANSH_VALLADER,San,743,dog:10,k
748,dog,SPANISH,pero,748,dog:2,c
719,dog,JUDEO_ESPAGNOL,perro,719,dog:2,c
704,dog,ASTURIAN,perru,704,dog:2,c
705,dog,BALEAR_CATALAN,ka,705,dog:3,d
724,dog,LOMBARD_BERGAMO,ka,724,dog:3,d
720,dog,LANGUEDOCIEN,ka,720,dog:3,d
716,dog,GASCON,ka,716,dog:3,d
707,dog,CATALAN_2,gos,707,dog:4,e
706,dog,CATALAN,gos,706,dog:4,e
749,dog,VALENCIAN,gos,749,dog:4,e
708,dog,CORSICAN,Takaru,708,dog:5,f
709,dog,DALMATIAN,kuoN,709,dog:6,g
713,dog,FRENCH,Sia,713,dog:7,h
735,dog,PORTUGUESE,kau,735,dog:8,i
742,dog,ROMANSH_SURSILVAN,Caun,742,dog:9,j
740,dog,ROMANSH_GRISHUN,Tawn,740,dog:9,j
1426,drink,ALBANIAN,pirye,1426,drink:0,a
1427,drink,ALBANIAN_TOSK,pi,1427,drink:1,b
1472,drink,SARDINIAN_LOGUDARESE,bufare,1472,drink:10,k
1425,drink,ALBANIAN_GHEG,gerb,1425,drink:10,k
1471,drink,SARDINIAN_CAMPIDANESE,bufay,1471,drink:10,k
1445,drink,JUDEO_ESPAGNOL,bever,1445,drink:2,c
1447,drink,LIGURIAN_GENOESE,bEyve,1447,drink:2,c
1448,drink,LIGURIAN_RAPALLO,bEye,1448,drink:2,c
1449,drink,LIGURIAN_STELLA,bEyve,1449,drink:2,c
1452,drink,NEAPOLITAN_CALABRESE,vEb3r3,1452,drink:2,c
1474,drink,SPANISH,bebe,1474,drink:2,c
1473,drink,SICILIAN_UnnamedInSource,biviri,1473,drink:2,c
1456,drink,OCCITAN_ARANESE,bEbe,1456,drink:2,c
1469,drink,ROMANSH_VALLADER,bayv3r,1469,drink:2,c
1468,drink,ROMANSH_SURSILVAN,beibEr,1468,drink:2,c
1454,drink,NONES_FASSANO,beyver,1454,drink:2,c
1466,drink,ROMANSH_GRISHUN,bayv3r,1466,drink:2,c
1461,drink,PORTUGUESE,b3b,1461,drink:2,c
1460,drink,PIEMONTESE_VERCELLESE,bevi,1460,drink:2,c
1459,drink,PIEMONTESE_LANZO_TORINESE,bEyve,1459,drink:2,c
1458,drink,PIEMONTESE_CARMAGNOLA,bEyve,1458,drink:2,c
1457,drink,PIEMONTESE_BARBANIA,bEyve,1457,drink:2,c
1455,drink,NONES_GARDENESE,bev3r,1455,drink:2,c
1467,drink,ROMANSH_SURMIRAN,bev3r,1467,drink:2,c
1441,drink,GALICIAN,beber,1441,drink:2,c
1435,drink,DALMATIAN,bar,1435,drink:2,c
1436,drink,EMILIANO_CARPIGIANO,bEvEr,1436,drink:2,c
1437,drink,EMILIANO_FERRARESE,bEar,1437,drink:2,c
1438,drink,EMILIANO_REGGIANO,bEvEr,1438,drink:2,c
1430,drink,ASTURIAN,beber,1430,drink:2,c
1440,drink,FRIULIAN,bevi,1440,drink:2,c
1428,drink,ARAGONESE,beber,1428,drink:2,c
1464,drink,ROMANIAN_2,bea,1464,drink:3,d
1465,drink,ROMANIAN_MEGLENO,beaw,1465,drink:3,d
1463,drink,ROMANIAN,bea,1463,drink:3,d
1476,drink,VLACH,abea,1476,drink:3,d
1429,drink,ARPITAN,bEa,1429,drink:3,d
1446,drink,LANGUEDOCIEN,bewre,1446,drink:4,e
1431,drink,BALEAR_CATALAN,bEur3,1431,drink:4,e
1432,drink,CATALAN,bEur3,1432,drink:4,e
1470,drink,SARDINIAN,biere,1470,drink:4,e
1433,drink,CATALAN_2,bEur3,1433,drink:4,e
1443,drink,ITALIAN,bere,1443,drink:4,e
1442,drink,GASCON,beore,1442,drink:4,e
1475,drink,VALENCIAN,bEure,1475,drink:4,e
1434,drink,CORSICAN,biy,1434,drink:5,f
1439,drink,FRENCH,ba,1439,drink:6,g
1444,drink,ITALIAN_GROSSETO_TUSCAN,bE,1444,drink:7,h
1462,drink,ROMAGNOL_RAVENNATE,be,1462,drink:7,h
1450,drink,LOMBARD_BERGAMO,bif,1450,drink:8,i
1451,drink,LOMBARD_PLESIO,bef,1451,drink:8,i
1453,drink,NONES,triNar,1453,drink:9,j
1582,ear,ALBANIAN,veS,1582,ear:0,a
1583,ear,ALBANIAN_TOSK,vES,1583,ear:0,a
1581,ear,ALBANIAN_GHEG,veS,1581,ear:0,a
1585,ear,ARPITAN,or3L3,1585,ear:1,b
1584,ear,ARAGONESE,oreLa,1584,ear:1,b
1586,ear,ASTURIAN,oreya,1586,ear:1,b
1618,ear,ROMAGNOL_RAVENNATE,urECa,1618,ear:1,b
1626,ear,SARDINIAN,uriga,1626,ear:1,b
1627,ear,SARDINIAN_CAMPIDANESE,orixa,1627,ear:1,b
1628,ear,SARDINIAN_LOGUDARESE,orikra,1628,ear:1,b
1629,ear,SICILIAN_UnnamedInSource,orikia,1629,ear:1,b
1630,ear,SPANISH,oreha,1630,ear:1,b
1631,ear,TURIA_AROMANIAN,ureakLi,1631,ear:1,b
1632,ear,VALENCIAN,orELa,1632,ear:1,b
1633,ear,VLACH,uriacli,1633,ear:1,b
1619,ear,ROMANIAN,ureke,1619,ear:1,b
1588,ear,CATALAN,urEL3,1588,ear:1,b
1587,ear,BALEAR_CATALAN,orEL3,1587,ear:1,b
1622,ear,ROMANSH_GRISHUN,ureL3,1622,ear:1,b
1606,ear,LOMBARD_BERGAMO,orEja,1606,ear:1,b
1605,ear,LIGURIAN_STELLA,weja,1605,ear:1,b
1604,ear,LIGURIAN_RAPALLO,aweje,1604,ear:1,b
1624,ear,ROMANSH_SURSILVAN,ureL3,1624,ear:1,b
1623,ear,ROMANSH_SURMIRAN,urey3,1623,ear:1,b
1603,ear,LIGURIAN_GENOESE,wEja,1603,ear:1,b
1625,ear,ROMANSH_VALLADER,uraL3,1625,ear:1,b
1589,ear,CATALAN_2,urEL3,1589,ear:1,b
1620,ear,ROMANIAN_2,ureke,1620,ear:1,b
1596,ear,FRIULIAN,oreli,1596,ear:1,b
1597,ear,GALICIAN,orELa,1597,ear:1,b
1598,ear,GASCON,aureyo,1598,ear:1,b
1599,ear,ITALIAN,orekkyo,1599,ear:1,b
1600,ear,ITALIAN_GROSSETO_TUSCAN,orekyo,1600,ear:1,b
1621,ear,ROMANIAN_MEGLENO,ureakL3,1621,ear:1,b
1601,ear,JUDEO_ESPAGNOL,orexa,1601,ear:1,b
1594,ear,EMILIANO_REGGIANO,urECa,1594,ear:1,b
1613,ear,PIEMONTESE_BARBANIA,uriya,1613,ear:1,b
1617,ear,PORTUGUESE,oraLa,1617,ear:1,b
1616,ear,PIEMONTESE_VERCELLESE,uroZa,1616,ear:1,b
1590,ear,CORSICAN,arETa,1590,ear:1,b
1591,ear,DALMATIAN,rakla,1591,ear:1,b
1615,ear,PIEMONTESE_LANZO_TORINESE,uriya,1615,ear:1,b
1614,ear,PIEMONTESE_CARMAGNOLA,uriya,1614,ear:1,b
1593,ear,EMILIANO_FERRARESE,urECa,1593,ear:1,b
1602,ear,LANGUEDOCIEN,awreLo,1602,ear:1,b
1611,ear,NONES_GARDENESE,ur3dla,1611,ear:1,b
1610,ear,NONES_FASSANO,ureya,1610,ear:1,b
1592,ear,EMILIANO_CARPIGIANO,urECa,1592,ear:1,b
1609,ear,NONES,rekla,1609,ear:1,b
1608,ear,NEAPOLITAN_CALABRESE,reky3,1608,ear:1,b
1607,ear,LOMBARD_PLESIO,urEja,1607,ear:1,b
1612,ear,OCCITAN_ARANESE,aureLo,1612,ear:1,b
1595,ear,FRENCH,ore,1595,ear:2,c
1688,eye,ALBANIAN,si,1688,eye:0,a
1689,eye,ALBANIAN_TOSK,si,1689,eye:0,a
1690,eye,ARAGONESE,geLo,1690,eye:1,b
1733,eye,SARDINIAN_CAMPIDANESE,oxu,1733,eye:10,k
1732,eye,SARDINIAN,ogu,1732,eye:10,k
1703,eye,GALICIAN,oLo,1703,eye:10,k
1723,eye,PORTUGUESE,oLu,1723,eye:10,k
1736,eye,SPANISH,oho,1736,eye:10,k
