,concept,language,word,ID,cc
184,I,ARAGONESE,yo,184,I:0
199,I,ITALIAN_GROSSETO_TUSCAN,io,199,I:0
198,I,ITALIAN,io,198,I:0
200,I,JUDEO_ESPAGNOL,yo,200,I:0
196,I,FRIULIAN,yo,196,I:0
226,I,SICILIAN_UnnamedInSource,iu,226,I:0
228,I,TURIA_AROMANIAN,yo,228,I:0
227,I,SPANISH,yo,227,I:0
191,I,DALMATIAN,yu,191,I:0
218,I,ROMANIAN_MEGLENO,yo,218,I:0
215,I,PORTUGUESE,eu,215,I:0
230,I,VLACH,eu,230,I:0
186,I,ASTURIAN,yo,186,I:0
229,I,VALENCIAN,yo,229,I:0
187,I,BALEAR_CATALAN,jo,187,I:1
210,I,OCCITAN_ARANESE,Zu,210,I:1
185,I,ARPITAN,Z3,185,I:1
188,I,CATALAN,Zo,188,I:1
208,I,NONES_FASSANO,Ze,208,I:1
195,I,FRENCH,j3,195,I:1
197,I,GASCON,jo,197,I:1
209,I,NONES_GARDENESE,ye,209,I:1
189,I,CATALAN_2,Zo,189,I:1
190,I,CORSICAN,eyu,190,I:2
206,I,NEAPOLITAN_CALABRESE,iy3,206,I:2
192,I,EMILIANO_CARPIGIANO,mE,192,I:3
212,I,PIEMONTESE_CARMAGNOLA,mi,212,I:3
201,I,LIGURIAN_GENOESE,mi,201,I:3
193,I,EMILIANO_FERRARESE,mi,193,I:3
202,I,LIGURIAN_RAPALLO,mi,202,I:3
203,I,LIGURIAN_STELLA,mi,203,I:3
194,I,EMILIANO_REGGIANO,me,194,I:3
205,I,LOMBARD_PLESIO,mi,205,I:3
211,I,PIEMONTESE_BARBANIA,mi,211,I:3
207,I,NONES,mi,207,I:3
213,I,PIEMONTESE_LANZO_TORINESE,mi,213,I:3
204,I,LOMBARD_BERGAMO,me,204,I:3
214,I,PIEMONTESE_VERCELLESE,mi,214,I:3
216,I,ROMAGNOL_RAVENNATE,me,216,I:3
224,I,SARDINIAN_CAMPIDANESE,dEw,224,I:4
222,I,ROMANSH_VALLADER,Ew,222,I:4
217,I,ROMANIAN_2,ew,217,I:4
219,I,ROMANSH_GRISHUN,yaw,219,I:5
223,I,SARDINIAN,deo,223,I:5
225,I,SARDINIAN_LOGUDARESE,deo,225,I:5
221,I,ROMANSH_SURSILVAN,yEu,221,I:5
220,I,ROMANSH_SURMIRAN,i3,220,I:6
183,I,SANSKRIT,3h3m,183,I:6
1959,blood,PIEMONTESE_LANZO_TORINESE,saNg,1959,blood:0
1967,blood,ROMANSH_SURMIRAN,saNk,1967,blood:0
1966,blood,ROMANSH_GRISHUN,saNk,1966,blood:0
1965,blood,ROMANIAN_MEGLENO,sonzi,1965,blood:0
1964,blood,ROMANIAN_2,s3nje,1964,blood:0
1968,blood,ROMANSH_SURSILVAN,sauN,1968,blood:0
1963,blood,ROMANIAN,s3nje,1963,blood:0
1962,blood,ROMAGNOL_RAVENNATE,saNgv,1962,blood:0
1949,blood,LIGURIAN_STELLA,saNgwe,1949,blood:0
1961,blood,PORTUGUESE,sax3,1961,blood:0
1958,blood,PIEMONTESE_CARMAGNOLA,saNg,1958,blood:0
1960,blood,PIEMONTESE_VERCELLESE,saN,1960,blood:0
1956,blood,OCCITAN_ARANESE,saN,1956,blood:0
1955,blood,NONES_GARDENESE,saNk,1955,blood:0
1954,blood,NONES_FASSANO,saNk,1954,blood:0
1953,blood,NONES,saN,1953,blood:0
1952,blood,NEAPOLITAN_CALABRESE,sang3,1952,blood:0
1951,blood,LOMBARD_PLESIO,sank,1951,blood:0
1973,blood,SICILIAN_UnnamedInSource,saNgu,1973,blood:0
1976,blood,VALENCIAN,saN,1976,blood:0
1975,blood,TURIA_AROMANIAN,sani,1975,blood:0
1974,blood,SPANISH,sangre,1974,blood:0
1969,blood,ROMANSH_VALLADER,saNk,1969,blood:0
1957,blood,PIEMONTESE_BARBANIA,saNg,1957,blood:0
1970,blood,SARDINIAN,sambene,1970,blood:0
1937,blood,EMILIANO_FERRARESE,saNg,1937,blood:0
1948,blood,LIGURIAN_RAPALLO,saNgwe,1948,blood:0
1977,blood,VLACH,sinca,1977,blood:0
1950,blood,LOMBARD_BERGAMO,sank,1950,blood:0
1946,blood,LANGUEDOCIEN,saN,1946,blood:0
1945,blood,JUDEO_ESPAGNOL,saNgre,1945,blood:0
1944,blood,ITALIAN_GROSSETO_TUSCAN,sangwe,1944,blood:0
1943,blood,ITALIAN,saNgwe,1943,blood:0
1942,blood,GASCON,saN,1942,blood:0
1941,blood,GALICIAN,saNge,1941,blood:0
1940,blood,FRIULIAN,saNk,1940,blood:0
1939,blood,FRENCH,sa,1939,blood:0
1938,blood,EMILIANO_REGGIANO,saNgov,1938,blood:0
1947,blood,LIGURIAN_GENOESE,saNgwe,1947,blood:0
1971,blood,SARDINIAN_CAMPIDANESE,SaNguni,1971,blood:0
