col_0,3,5,8,C,E,L,N,S,T,Z,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
3,1.51198347888,-3.42680337414,-1.71382478276,-3.37637252051,0.456107652284,-3.82678901648,-4.2285843957,-3.65973493182,-2.61176637597,-2.68322533995,1.15775366851,-4.27877414023,-2.14914285402,-4.79656843331,0.738296227592,-4.26468940034,-4.19873143255,-2.14914285402,0.0695832098289,-2.89944844842,-3.40190582252,-3.74277016043,-4.9542841793,-5.78362823607,-0.611926877435,-5.03295721137,0.684070490034,-5.54444051356,-5.27693484959,-5.24817469741,-0.872723688915,-3.56442475202,-3.85922429224,-2.14914285402,-2.43191091167,-2.89944844842
5,-3.42680337414,4.78129989542,0.40183802235,-1.95385689596,-3.45409551643,-2.40427339193,1.27146867276,-2.23721930727,2.17804507857,-1.2607097154,-4.50813948562,-2.85625851567,-0.726627229468,-3.37405280875,-4.39169603489,-2.84217377579,-2.776215808,-0.726627229468,-4.1100199865,1.741943001,-3.36568455908,-3.41886682454,-3.53176855475,0.594714446085,-4.45726941194,-3.61044158682,2.10658611459,-2.73563052788,-3.85441922503,-3.82565907286,-4.21238199916,-2.83505630802,-2.43670866768,-0.726627229468,-3.20661986445,-1.47693282387
8,-1.71382478276,0.40183802235,4.12971963427,-0.240878304583,-1.74111692505,-0.691294800554,-1.09309017977,0.574371572778,0.523727839959,0.452268875977,-2.79516089424,-1.1432799243,0.986351361907,2.14558827239,-2.67871744351,-1.12919518441,-1.06323721662,0.986351361907,-0.451131246066,0.236045767507,-1.65270596771,-1.70588823317,-1.81878996337,-2.64813402014,-2.74429082057,-1.89746299544,3.81956470596,-2.40894629763,-1.04282834499,1.2546153485,-2.49940340778,-1.12207771665,-0.723730076307,0.986351361907,0.29811819615,1.84548367994
C,-3.37637252051,-1.95385689596,-0.240878304583,3.33832097273,-3.4036646628,2.71506166392,-2.75563791752,-1.49364127308,1.90570253993,2.22370834271,-4.45770863199,-2.80582766204,1.11556309339,-1.02103686213,-4.34126518126,-2.79174292216,0.218654024795,0.933241536593,-4.05958913287,2.63394104031,-0.137199875108,-2.67528879036,-3.48133770112,-4.31068175789,-4.40683855832,-3.56001073319,2.15701696822,-4.07149403538,-3.80398837141,1.37226625758,-4.16195114553,-2.78462545439,-2.38627781405,2.41484607752,0.886862257008,0.876083122753
E,0.456107652284,-3.45409551643,-1.74111692505,-3.4036646628,2.3438892985,-3.85408115877,-4.25587653799,-3.68702707411,-2.63905851826,-2.71051748224,0.290095622051,-4.30606628251,-2.17643499631,-4.8238605756,1.87406573279,-4.29198154263,-4.22602357484,-2.17643499631,0.757336933408,-2.92674059071,-4.81549232593,-4.86867459139,-4.98157632159,-5.81092037836,-0.813326977979,-5.06024935366,0.656778347746,-5.57173265585,-5.30422699188,-5.2754668397,-5.662189766,-4.28486407486,-3.88651643452,-2.17643499631,-4.6564276313,-2.92674059071
L,-3.82678901648,-2.40427339193,-0.691294800554,2.71506166392,-3.85408115877,3.47800771262,-3.20605441349,-2.63720494961,0.607988183577,1.55818046713,-4.90812512796,-3.25624415802,-1.12661287181,-3.7740384511,-4.79168167723,-3.24215941813,-0.131679012618,1.76375888608,-3.81685844828,2.23395539796,-0.182151262971,2.02178919049,-3.93175419709,-4.76109825386,-4.85725505429,-4.01042722916,1.70660047224,-3.42329824268,-4.25440486738,-4.2256447152,-4.6123676415,-3.23504195036,-2.83669431003,2.78541013362,2.46413222121,0.762138863404
N,-4.2285843957,1.27146867276,-1.09309017977,-2.75563791752,-4.25587653799,-3.20605441349,3.96927213817,-3.03900032883,-1.99103177298,-2.06249073696,-4.21130821851,-3.65803953723,-1.52840825103,-4.17583383032,-5.19347705645,-3.64395479735,-3.57799682956,-1.52840825103,-4.91180100806,-0.486954376202,-3.47431840009,-4.22064784611,0.636263723268,1.96077915213,-5.25905043351,-4.41222260838,1.30480509303,-4.92370591057,-4.6562002466,-4.62744009442,-5.01416302072,-3.63683732958,-1.85219532812,-0.835261070471,-4.00840088602,-2.27871384543
S,-3.65973493182,-2.23721930727,0.574371572778,-1.49364127308,-3.68702707411,-2.63720494961,-3.03900032883,4.51733938206,-1.4221823091,0.90425399972,-4.7410710433,-3.08919007335,-0.959558787148,-3.60698436643,-2.67871744351,-3.07510533347,-2.31600018512,-0.959558787148,-4.34295154418,-0.100426469114,-1.65270596771,-3.65179838222,-3.76470011243,-4.5940441692,-4.69020096962,-3.8433731445,1.87365455691,-4.35485644668,2.46372955233,-4.05859063054,-4.44531355684,-3.0679878657,-2.66964022536,-0.959558787148,-3.43955142213,-1.01671720099
T,-2.61176637597,2.17804507857,0.523727839959,1.90570253993,-2.63905851826,0.607988183577,-1.99103177298,-1.4221823091,2.67030868448,-0.445672717229,-3.69310248745,-2.0412215175,1.47470412982,-2.55901581058,-3.57665903672,-2.02713677762,0.811409912411,1.18702205737,-3.29498298833,0.724398535421,1.75341753229,-1.91068264581,-2.71673155658,-3.54607561335,-3.64223241377,-2.79540458865,4.30791747388,-3.30688789083,-3.03938222687,0.167431755657,-3.39734500099,-2.02001930985,-1.62167166951,1.88016923793,-1.29297057762,-0.661895825699
Z,-2.68322533995,-1.2607097154,0.452268875977,2.22370834271,-2.71051748224,1.55818046713,-2.06249073696,0.90425399972,-0.445672717229,5.12831521643,-3.76456145143,-2.11268048148,2.85016414878,-1.93732759401,-3.6481180007,-2.0985957416,0.269947319183,0.710097985279,-3.36644195231,4.06243575592,-2.6221065249,-1.9821416098,-2.78819052056,-3.61753457733,-3.71369137776,-2.86686355263,2.85016414878,-3.37834685482,-3.11084119085,-3.08208103867,-3.46880396497,-2.09147827383,-1.69313063349,0.710097985279,0.4813971489,3.25562925688
