concept,cc
louse,louse:1
liver,liver:1
breast,breast:2
come,come:1
I,I:1
you,you:2
star,star:2
bone,bone:1
new,new:2
full,full:2
horn,horn:1
leaf,leaf:2
fire,fire:2
water,water:2
dog,dog:0
tree,tree:2
path,path:1
hear,hear:1
night,night:0
two,two:2
we,we:1
fish,fish:0
skin,skin:1
name,name:1
nose,nose:1
tooth,tooth:1
sun,sun:1
tongue,tongue:1
drink,drink:2
see,see:5
die,die:1
ear,ear:1
mountain,mountain:1
eye,eye:6
stone,stone:1
person,person:1
one,one:7
knee,knee:1
hand,hand:1
blood,blood:1
