,concept,language,word,ID,cc
190,I,ARMENIAN_CLASSICAL,es,190,I:0
192,I,WESTERN_ARMENIAN,yes,192,I:0
191,I,EASTERN_ARMENIAN,yes,191,I:0
218,I,NONES_GARDENESE,ye,218,I:1
217,I,NONES_FASSANO,Ze,217,I:1
209,I,JUDEO_ESPAGNOL,yo,209,I:1
208,I,ITALIAN_GROSSETO_TUSCAN,io,208,I:1
207,I,ITALIAN,io,207,I:1
206,I,GASCON,jo,206,I:1
205,I,FRIULIAN,yo,205,I:1
204,I,FRENCH,j3,204,I:1
198,I,CATALAN_2,Zo,198,I:1
197,I,CATALAN,Zo,197,I:1
196,I,BALEAR_CATALAN,jo,196,I:1
195,I,ASTURIAN,yo,195,I:1
194,I,ARPITAN,Z3,194,I:1
193,I,ARAGONESE,yo,193,I:1
200,I,DALMATIAN,yu,200,I:1
227,I,ROMANIAN_MEGLENO,yo,227,I:1
219,I,OCCITAN_ARANESE,Zu,219,I:1
238,I,VALENCIAN,yo,238,I:1
237,I,TURIA_AROMANIAN,yo,237,I:1
236,I,SPANISH,yo,236,I:1
235,I,SICILIAN_UnnamedInSource,iu,235,I:1
199,I,CORSICAN,eyu,199,I:2
215,I,NEAPOLITAN_CALABRESE,iy3,215,I:2
201,I,EMILIANO_CARPIGIANO,mE,201,I:3
202,I,EMILIANO_FERRARESE,mi,202,I:3
203,I,EMILIANO_REGGIANO,me,203,I:3
210,I,LIGURIAN_GENOESE,mi,210,I:3
211,I,LIGURIAN_RAPALLO,mi,211,I:3
212,I,LIGURIAN_STELLA,mi,212,I:3
214,I,LOMBARD_PLESIO,mi,214,I:3
213,I,LOMBARD_BERGAMO,me,213,I:3
220,I,PIEMONTESE_BARBANIA,mi,220,I:3
221,I,PIEMONTESE_CARMAGNOLA,mi,221,I:3
222,I,PIEMONTESE_LANZO_TORINESE,mi,222,I:3
223,I,PIEMONTESE_VERCELLESE,mi,223,I:3
225,I,ROMAGNOL_RAVENNATE,me,225,I:3
216,I,NONES,mi,216,I:3
239,I,VLACH,eu,239,I:4
231,I,ROMANSH_VALLADER,Ew,231,I:4
224,I,PORTUGUESE,eu,224,I:4
226,I,ROMANIAN_2,ew,226,I:4
233,I,SARDINIAN_CAMPIDANESE,dEw,233,I:4
232,I,SARDINIAN,deo,232,I:5
230,I,ROMANSH_SURSILVAN,yEu,230,I:5
228,I,ROMANSH_GRISHUN,yaw,228,I:5
234,I,SARDINIAN_LOGUDARESE,deo,234,I:5
229,I,ROMANSH_SURMIRAN,i3,229,I:6
2003,blood,WESTERN_ARMENIAN,arun,2003,blood:0
2002,blood,EASTERN_ARMENIAN,arun,2002,blood:0
2001,blood,ARMENIAN_CLASSICAL,ariun,2001,blood:0
2006,blood,ASTURIAN,saNgre,2006,blood:1
2005,blood,ARPITAN,so,2005,blood:1
2004,blood,ARAGONESE,saNgre,2004,blood:1
2007,blood,BALEAR_CATALAN,saN,2007,blood:1
2053,blood,VLACH,sinca,2053,blood:1
2052,blood,VALENCIAN,saN,2052,blood:1
2008,blood,CATALAN,saN,2008,blood:1
2026,blood,LOMBARD_BERGAMO,sank,2026,blood:1
2027,blood,LOMBARD_PLESIO,sank,2027,blood:1
2028,blood,NEAPOLITAN_CALABRESE,sang3,2028,blood:1
2029,blood,NONES,saN,2029,blood:1
2030,blood,NONES_FASSANO,saNk,2030,blood:1
2031,blood,NONES_GARDENESE,saNk,2031,blood:1
2032,blood,OCCITAN_ARANESE,saN,2032,blood:1
2033,blood,PIEMONTESE_BARBANIA,saNg,2033,blood:1
2034,blood,PIEMONTESE_CARMAGNOLA,saNg,2034,blood:1
2035,blood,PIEMONTESE_LANZO_TORINESE,saNg,2035,blood:1
2036,blood,PIEMONTESE_VERCELLESE,saN,2036,blood:1
2037,blood,PORTUGUESE,sax3,2037,blood:1
2024,blood,LIGURIAN_RAPALLO,saNgwe,2024,blood:1
2038,blood,ROMAGNOL_RAVENNATE,saNgv,2038,blood:1
2040,blood,ROMANIAN_2,s3nje,2040,blood:1
2041,blood,ROMANIAN_MEGLENO,sonzi,2041,blood:1
2042,blood,ROMANSH_GRISHUN,saNk,2042,blood:1
2043,blood,ROMANSH_SURMIRAN,saNk,2043,blood:1
2044,blood,ROMANSH_SURSILVAN,sauN,2044,blood:1
2045,blood,ROMANSH_VALLADER,saNk,2045,blood:1
2046,blood,SARDINIAN,sambene,2046,blood:1
2047,blood,SARDINIAN_CAMPIDANESE,SaNguni,2047,blood:1
2048,blood,SARDINIAN_LOGUDARESE,sambene,2048,blood:1
2049,blood,SICILIAN_UnnamedInSource,saNgu,2049,blood:1
2050,blood,SPANISH,sangre,2050,blood:1
2051,blood,TURIA_AROMANIAN,sani,2051,blood:1
2039,blood,ROMANIAN,s3nje,2039,blood:1
2023,blood,LIGURIAN_GENOESE,saNgwe,2023,blood:1
2025,blood,LIGURIAN_STELLA,saNgwe,2025,blood:1
2021,blood,JUDEO_ESPAGNOL,saNgre,2021,blood:1
2022,blood,LANGUEDOCIEN,saN,2022,blood:1
2010,blood,CORSICAN,saNgwi,2010,blood:1
2011,blood,DALMATIAN,suoNg,2011,blood:1
2012,blood,EMILIANO_CARPIGIANO,saNgev,2012,blood:1
2013,blood,EMILIANO_FERRARESE,saNg,2013,blood:1
2014,blood,EMILIANO_REGGIANO,saNgov,2014,blood:1
2009,blood,CATALAN_2,saN,2009,blood:1
2016,blood,FRIULIAN,saNk,2016,blood:1
2017,blood,GALICIAN,saNge,2017,blood:1
2018,blood,GASCON,saN,2018,blood:1
2019,blood,ITALIAN,saNgwe,2019,blood:1
2020,blood,ITALIAN_GROSSETO_TUSCAN,sangwe,2020,blood:1
2015,blood,FRENCH,sa,2015,blood:1
595,bone,ARMENIAN_CLASSICAL,oskr,595,bone:0
596,bone,EASTERN_ARMENIAN,voskor,596,bone:0
597,bone,WESTERN_ARMENIAN,vosgor,597,bone:0
614,bone,JUDEO_ESPAGNOL,gueso,614,bone:1
644,bone,TURIA_AROMANIAN,os,644,bone:1
643,bone,SPANISH,weso,643,bone:1
642,bone,SICILIAN_UnnamedInSource,osu,642,bone:1
640,bone,SARDINIAN_CAMPIDANESE,osu,640,bone:1
639,bone,SARDINIAN,osu,639,bone:1
638,bone,ROMANSH_VALLADER,os,638,bone:1
632,bone,ROMANIAN,os,632,bone:1
635,bone,ROMANSH_GRISHUN,os,635,bone:1
634,bone,ROMANIAN_MEGLENO,wos,634,bone:1
633,bone,ROMANIAN_2,os,633,bone:1
631,bone,ROMAGNOL_RAVENNATE,os,631,bone:1
630,bone,PORTUGUESE,osu,630,bone:1
629,bone,PIEMONTESE_VERCELLESE,os,629,bone:1
645,bone,VALENCIAN,os,645,bone:1
636,bone,ROMANSH_SURMIRAN,os,636,bone:1
641,bone,SARDINIAN_LOGUDARESE,osu,641,bone:1
615,bone,LANGUEDOCIEN,os,615,bone:1
617,bone,LIGURIAN_RAPALLO,osu,617,bone:1
628,bone,PIEMONTESE_LANZO_TORINESE,os,628,bone:1
627,bone,PIEMONTESE_CARMAGNOLA,os,627,bone:1
626,bone,PIEMONTESE_BARBANIA,os,626,bone:1
625,bone,OCCITAN_ARANESE,os,625,bone:1
624,bone,NONES_GARDENESE,os,624,bone:1
623,bone,NONES_FASSANO,os,623,bone:1
