Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	rateMultiplier	siteRates[1]	siteRates[2]	siteRates[3]	siteRates[4]	siteRates[5]	siteRates[6]	siteRates[7]	siteRates[8]	siteRates[9]	siteRates[10]	siteRates[11]	siteRates[12]	siteRates[13]	siteRates[14]	siteRates[15]	siteRates[16]	siteRates[17]	siteRates[18]	siteRates[19]	siteRates[20]	siteRates[21]	siteRates[22]	siteRates[23]	siteRates[24]	siteRates[25]	siteRates[26]	siteRates[27]	siteRates[28]	siteRates[29]	siteRates[30]	siteRates[31]	siteRates[32]	siteRates[33]	siteRates[34]	siteRates[35]	siteRates[36]	siteRates[37]	siteRates[38]	siteRates[39]	siteRates[40]
0	0	-2436.26	-2418.72	-17.5447	1.332188	5.125727	0.5158	1.08733	1.3822	0.5158	2.95392	1.82422	0.234725	1.08733	0.676248	0.5158	0.234725	0.5158	0.861811	0.676248	1.3822	1.3822	1.3822	1.82422	1.3822	0.861811	1.08733	0.0925439	0.5158	0.861811	0.5158	0.0925439	0.371204	0.234725	1.08733	1.82422	0.371204	0.0925439	0.676248	2.95392	0.861811	2.95392	2.95392	0.5158	0.371204	0.371204
1	0	-2431.36	-2414.11	-17.2501	1.337671	4.842748	0.516934	1.38196	1.82291	0.516934	2.94931	1.82291	0.0932177	0.862568	1.0877	0.372367	0.516934	0.372367	0.516934	1.0877	0.862568	1.82291	1.0877	1.38196	1.0877	1.0877	1.82291	0.0932177	0.516934	0.862568	0.516934	0.235787	0.862568	0.0932177	1.38196	1.82291	0.67725	0.0932177	0.235787	1.82291	1.0877	2.94931	2.94931	0.235787	0.372367	0.235787
2	0	-2434.65	-2415.58	-19.0726	1.15433	6.217917	0.474965	0.474965	0.833339	0.639529	3.12124	1.07244	0.0705765	0.639529	0.833339	0.198197	0.474965	0.198197	0.474965	0.639529	1.07244	1.07244	1.38926	1.38926	1.8703	1.07244	1.38926	0.198197	0.330146	0.474965	0.474965	0.330146	0.330146	0.0705765	1.07244	1.8703	0.330146	0.330146	0.330146	1.38926	0.833339	3.12124	3.12124	0.198197	0.330146	0.198197
3	0	-2436.6	-2420.21	-16.3893	2.225543	5.042637	0.641252	0.934946	1.11432	0.641252	2.4551	1.66597	0.191938	1.11432	0.781049	0.641252	0.641252	0.191938	0.641252	0.641252	1.3401	1.3401	0.934946	1.3401	2.4551	1.11432	1.66597	0.191938	0.36826	0.507067	0.934946	0.36826	0.36826	0.191938	1.3401	1.66597	0.507067	0.191938	0.507067	1.66597	1.3401	2.4551	2.4551	0.191938	0.36826	0.507067
4	0	-2437.76	-2418.75	-19.0061	1.055539	5.849111	0.44829	0.44829	1.39206	0.813436	1.89903	1.39206	0.0584567	1.06102	1.06102	0.176095	0.30417	0.176095	0.813436	0.813436	0.813436	1.06102	1.89903	1.39206	1.39206	1.06102	1.06102	0.0584567	0.813436	0.614818	0.30417	0.176095	0.44829	0.0584567	1.06102	1.89903	0.30417	0.0584567	0.614818	1.39206	0.813436	1.89903	3.23263	0.30417	0.30417	0.176095
5	0	-2439.48	-2422.96	-16.5171	1.175658	3.72132	0.480315	1.86441	3.09912	1.86441	3.09912	1.86441	0.202796	1.86441	1.38852	0.480315	0.644416	0.335437	1.86441	0.837205	1.07457	1.38852	1.38852	1.86441	1.38852	1.38852	1.86441	0.202796	0.837205	1.07457	0.837205	0.202796	0.837205	0.0732112	1.86441	3.09912	0.480315	0.335437	0.644416	1.86441	1.86441	3.09912	3.09912	0.0732112	0.335437	0.335437
6	0	-2430.26	-2414.39	-15.8699	2.223695	4.522071	0.368048	0.78091	1.1143	0.78091	2.45579	2.45579	0.191757	0.78091	0.641075	0.934858	0.506865	0.368048	1.1143	1.1143	1.1143	1.66622	1.1143	1.1143	1.66622	0.641075	1.66622	0.191757	0.506865	0.641075	0.368048	0.368048	0.641075	0.191757	1.34018	1.66622	0.641075	0.368048	0.368048	2.45579	1.34018	2.45579	2.45579	0.191757	0.641075	0.506865
7	0	-2444.23	-2427.99	-16.2355	1.619444	4.314533	0.72081	0.894481	1.76227	1.3686	2.74658	2.74658	0.567414	1.10181	1.10181	0.567414	0.285672	0.72081	0.894481	1.10181	1.76227	1.3686	1.3686	1.3686	1.3686	1.10181	2.74658	0.285672	0.894481	0.425318	0.567414	0.425318	0.567414	0.567414	1.76227	2.74658	0.285672	0.127036	0.567414	2.74658	0.894481	2.74658	2.74658	0.425318	0.567414	0.567414
8	0	-2439.92	-2423.18	-16.7389	1.615207	4.811948	0.424609	0.720253	1.76309	1.10166	2.74922	1.76309	0.126542	0.566753	1.36881	0.126542	0.566753	0.126542	0.720253	1.10166	1.10166	1.36881	1.76309	1.10166	1.36881	1.10166	1.76309	0.126542	0.424609	0.566753	0.720253	0.284985	0.566753	0.126542	1.76309	2.74922	0.566753	0.566753	1.10166	1.76309	0.894085	2.74922	2.74922	0.424609	0.424609	0.284985
9	0	-2430.85	-2414.99	-15.8555	1.616341	3.93009	0.720402	0.720402	0.894191	0.720402	2.74851	1.36875	0.285169	0.894191	1.76287	0.285169	0.720402	0.285169	1.36875	0.894191	1.76287	0.894191	0.894191	2.74851	1.36875	1.76287	1.76287	0.285169	0.56693	1.1017	0.56693	0.126674	0.285169	0.126674	1.76287	2.74851	0.424799	0.424799	0.424799	2.74851	0.894191	2.74851	2.74851	0.285169	0.285169	0.285169
